sat1_id,sat1_name,sat2_id,sat2_name,miss_distance_km,relative_velocity_km_s,bstar_1,bstar_2,target_risk_score
81102,OBJECT_81102,81103,OBJECT_81103,1275.0228,0.6554,0.0014501,0.00019236,0.0
81102,OBJECT_81102,81104,OBJECT_81104,1173.4312,0.6099,0.0014501,0.00021223000000000002,0.0
28222,OBJECT_28222,81102,OBJECT_81102,1026.9414,14.4082,0.00061193,0.0014501,0.0002
81102,OBJECT_81102,34383,OBJECT_34383,1649.716,4.2257,0.0014501,0.0058841,0.0001
81102,OBJECT_81102,30988,OBJECT_30988,456.672,15.1069,0.0014501,0.0019808,0.0002
20453,OBJECT_20453,81102,OBJECT_81102,1589.4997,5.2556,0.0007334300000000001,0.0014501,0.0001
66052,HRC MONOBLOCK CAMERA,81102,OBJECT_81102,1195.4721,12.4141,0.00052637,0.0014501,0.0002
81102,OBJECT_81102,36470,OBJECT_36470,517.8905,5.2466,0.0014501,0.0041525,0.0001
81102,OBJECT_81102,32203,OBJECT_32203,1804.9767,6.788,0.0014501,0.00066927,0.0002
81102,OBJECT_81102,89484,OBJECT_89484,3515.0596,5.8019,0.0014501,0.12563,0.0002
66515,SZ-21 MODULE,81102,OBJECT_81102,338.6519,11.5866,0.00025938000000000003,0.0014501,0.0002
66515,OBJECT_66515,81102,OBJECT_81102,338.6519,11.5866,0.00025938000000000003,0.0014501,0.0002
54039,OBJECT_54039,81102,OBJECT_81102,624.0613,15.4761,0.00045250000000000005,0.0014501,0.0002
81102,OBJECT_81102,34478,OBJECT_34478,40.6678,10.6262,0.0014501,0.005755400000000001,0.0002
81102,OBJECT_81102,84232,OBJECT_84232,4627.5948,6.2479,0.0014501,0.0026161,0.0002
5118,OBJECT_05118,81102,OBJECT_81102,1314.1837,12.6103,0.00040186,0.0014501,0.0002
28738,OBJECT_28738,81102,OBJECT_81102,94.6568,15.7592,0.00049418,0.0014501,0.0002
67686,UITMSAT-2,81102,OBJECT_81102,1857.1304,11.3328,0.00077092,0.0014501,0.0002
81102,OBJECT_81102,35891,OBJECT_35891,923.8948,14.2792,0.0014501,0.0014516000000000002,0.0002
81102,OBJECT_81102,81111,OBJECT_81111,853.5294,6.5478,0.0014501,0.0043772,0.0002
20775,OBJECT_20775,81102,OBJECT_81102,5145.5552,3.9028,0.0004168,0.0014501,0.0001
67688,HMU-SAT2,81102,OBJECT_81102,2845.0342,11.0147,0.00066833,0.0014501,0.0002
16719,OBJECT_16719,81102,OBJECT_81102,364.4681,15.0299,0.0004131,0.0014501,0.0002
52794,OBJECT_52794,81102,OBJECT_81102,2664.0916,8.4905,0.00035993000000000006,0.0014501,0.0002
12139,OBJECT_12139,81102,OBJECT_81102,1330.9725,6.7445,0.00043366,0.0014501,0.0002
67685,GXIBA-1,81102,OBJECT_81102,1804.4889,11.1612,0.00068196,0.0014501,0.0002
67687,LEOPARD,81102,OBJECT_81102,2520.4871,10.9797,0.0007166000000000001,0.0014501,0.0002
66906,DUPLEX,81102,OBJECT_81102,1819.622,11.2803,0.0004036,0.0014501,0.0002
67683,KNACKSAT-2,81102,OBJECT_81102,1831.7212,11.0385,0.0005019,0.0014501,0.0002
81102,OBJECT_81102,32185,OBJECT_32185,1659.9844,7.2507,0.0014501,0.0027211999999999996,0.0002
5730,OBJECT_05730,81102,OBJECT_81102,907.7613,13.0467,0.0002277,0.0014501,0.0002
81102,OBJECT_81102,30764,OBJECT_30764,1298.3668,16.0613,0.0014501,0.0010443,0.0002
39679,OBJECT_39679,81102,OBJECT_81102,1664.4496,12.2645,0.00023391000000000002,0.0014501,0.0002
81102,OBJECT_81102,39554,OBJECT_39554,1438.7097,3.9572,0.0014501,0.0025328,0.0001
81102,OBJECT_81102,35602,OBJECT_35602,652.9777,11.3891,0.0014501,0.0003241,0.0002
69049,TIANZHOU-10,81102,OBJECT_81102,2142.0923,11.3142,0.00016627,0.0014501,0.0003
48274,CSS (TIANHE),81102,OBJECT_81102,2142.1343,11.3142,0.00017114,0.0014501,0.0003
53239,CSS (WENTIAN),81102,OBJECT_81102,2142.1343,11.3142,0.00017114,0.0014501,0.0003
54216,CSS (MENGTIAN),81102,OBJECT_81102,2142.1343,11.3142,0.00017114,0.0014501,0.0003
69180,SHENZHOU-23 (SZ-23),81102,OBJECT_81102,2142.1343,11.3142,0.00017114,0.0014501,0.0003
48274,OBJECT_48274,81102,OBJECT_81102,2142.1343,11.3142,0.00017114,0.0014501,0.0003
81102,OBJECT_81102,34861,OBJECT_34861,236.0852,13.9148,0.0014501,0.0050554,0.0002
81102,OBJECT_81102,38487,OBJECT_38487,1966.0298,12.3804,0.0014501,0.0022501,0.0002
81102,OBJECT_81102,31680,OBJECT_31680,2190.6404,8.1383,0.0014501,0.0008204,0.0002
81102,OBJECT_81102,33599,OBJECT_33599,819.3612,14.9959,0.0014501,0.0007097900000000001,0.0002
81102,OBJECT_81102,31281,OBJECT_31281,1956.7898,9.3471,0.0014501,0.00088798,0.0002
81102,OBJECT_81102,33687,OBJECT_33687,1810.3444,13.9196,0.0014501,0.00042666,0.0002
13819,OBJECT_13819,81102,OBJECT_81102,2015.5479,8.8482,0.00022197000000000002,0.0014501,0.0002
43682,OBJECT_43682,81102,OBJECT_81102,2158.3567,7.53,0.0003926,0.0014501,0.0002
25544,ISS (ZARYA),81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
36086,POISK,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
49044,ISS (NAUKA),81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
67796,CREW DRAGON 12,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
68319,PROGRESS-MS 33,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
68689,CYGNUS NG-24,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
68837,PROGRESS-MS 34,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
25544,OBJECT_25544,81102,OBJECT_81102,2009.3781,10.9242,0.00016914000000000002,0.0014501,0.0003
10114,OBJECT_10114,81102,OBJECT_81102,499.3827,8.4588,0.00018240999999999998,0.0014501,0.0003
81102,OBJECT_81102,33821,OBJECT_33821,1651.1775,12.3775,0.0014501,0.00076782,0.0002
12465,OBJECT_12465,81102,OBJECT_81102,1495.872,5.2064,0.00019945,0.0014501,0.0001
81102,OBJECT_81102,35443,OBJECT_35443,2313.8469,8.9805,0.0014501,0.0041542,0.0002
81102,OBJECT_81102,39547,OBJECT_39547,222.7319,11.9014,0.0014501,0.0023994,0.0002
33504,OBJECT_33504,81102,OBJECT_81102,2084.3703,5.7017,0.00018579000000000002,0.0014501,0.0003
81102,OBJECT_81102,31630,OBJECT_31630,1822.1107,8.0099,0.0014501,0.00074988,0.0002
81102,OBJECT_81102,35622,OBJECT_35622,2758.0046,5.8938,0.0014501,0.0079148,0.0002
81102,OBJECT_81102,33818,OBJECT_33818,2406.3974,11.117,0.0014501,0.0026113,0.0002
81102,OBJECT_81102,31436,OBJECT_31436,1702.2741,7.8671,0.0014501,0.006832899999999999,0.0002
14208,OBJECT_14208,81102,OBJECT_81102,700.933,15.4831,0.000221,0.0014501,0.0002
81102,OBJECT_81102,37518,OBJECT_37518,1628.1866,4.8204,0.0014501,0.0018892000000000002,0.0001
81102,OBJECT_81102,30082,OBJECT_30082,166.3945,13.8941,0.0014501,0.0013507,0.0002
81102,OBJECT_81102,84292,OBJECT_84292,2059.2312,4.3393,0.0014501,0.0015052,0.0001
81102,OBJECT_81102,33679,OBJECT_33679,790.332,12.3772,0.0014501,0.0015966,0.0002
21819,OBJECT_21819,81102,OBJECT_81102,1112.1955,12.6779,0.00017947,0.0014501,0.0003
81102,OBJECT_81102,35174,OBJECT_35174,304.433,15.8314,0.0014501,0.0024598000000000003,0.0002
81102,OBJECT_81102,33939,OBJECT_33939,639.6993,14.4441,0.0014501,0.0039595,0.0002
81102,OBJECT_81102,81947,OBJECT_81947,667.0491,9.5441,0.0014501,0.00067081,0.0002
81102,OBJECT_81102,31346,OBJECT_31346,706.4712,15.6015,0.0014501,0.00044548,0.0002
81102,OBJECT_81102,37427,OBJECT_37427,4679.4097,9.5389,0.0014501,0.00042394,0.0002
81102,OBJECT_81102,33684,OBJECT_33684,394.8742,13.9723,0.0014501,0.00040342,0.0002
81102,OBJECT_81102,33765,OBJECT_33765,2147.5093,11.4855,0.0014501,0.0017709,0.0002
81102,OBJECT_81102,36225,OBJECT_36225,1973.9008,9.7216,0.0014501,0.0018013000000000003,0.0002
28415,OBJECT_28415,81102,OBJECT_81102,368.0842,15.7495,0.00022941000000000001,0.0014501,0.0002
81102,OBJECT_81102,31327,OBJECT_31327,1036.2405,14.9093,0.0014501,0.0008168,0.0002
81102,OBJECT_81102,30520,OBJECT_30520,2462.8075,6.4268,0.0014501,0.00068685,0.0002
81102,OBJECT_81102,31686,OBJECT_31686,702.1259,14.0387,0.0014501,0.00041313,0.0002
81102,OBJECT_81102,31021,OBJECT_31021,3372.1068,12.4538,0.0014501,0.0005281900000000001,0.0002
81102,OBJECT_81102,31222,OBJECT_31222,2064.8633,14.2301,0.0014501,0.00030163,0.0002
694,OBJECT_00694,81102,OBJECT_81102,1067.2021,8.4139,0.00016786,0.0014501,0.0003
81102,OBJECT_81102,47029,OBJECT_47029,597.0436,15.088,0.0014501,0.0013957,0.0002
81102,OBJECT_81102,87690,OBJECT_87690,816.5796,5.6517,0.0014501,0.00018884000000000001,0.0001
48865,OBJECT_48865,81102,OBJECT_81102,745.2333,13.986,0.00012189,0.0014501,0.0003
81102,OBJECT_81102,89304,OBJECT_89304,4325.3593,7.5432,0.0014501,0.015304000000000002,0.0002
81102,OBJECT_81102,38513,OBJECT_38513,4742.6601,9.2853,0.0014501,0.00028219,0.0002
81102,OBJECT_81102,36441,OBJECT_36441,1391.4377,10.1799,0.0014501,0.00024257,0.0002
19210,OBJECT_19210,81102,OBJECT_81102,1660.9793,12.5561,0.0002493,0.0014501,0.0002
81102,OBJECT_81102,35996,OBJECT_35996,1264.9097,13.5651,0.0014501,0.00047079,0.0002
19573,OBJECT_19573,81102,OBJECT_81102,1605.4981,13.2345,0.00023187,0.0014501,0.0002
81102,OBJECT_81102,40797,OBJECT_40797,749.8099,14.0454,0.0014501,0.00041109,0.0002
20580,OBJECT_20580,81102,OBJECT_81102,2166.8513,8.2434,0.00019056000000000002,0.0014501,0.0003
81102,OBJECT_81102,34452,OBJECT_34452,3390.9468,11.1218,0.0014501,0.00055199,0.0002
81102,OBJECT_81102,87456,OBJECT_87456,1775.6048,5.7907,0.0014501,0.00024392,0.0002
81102,OBJECT_81102,31938,OBJECT_31938,1317.939,13.8951,0.0014501,0.0001926,0.0001
13403,OBJECT_13403,81102,OBJECT_81102,628.4419,11.5415,0.0001618,0.0014501,0.0003
81102,OBJECT_81102,36283,OBJECT_36283,457.5489,15.6504,0.0014501,0.00082695,0.0002
81102,OBJECT_81102,47041,OBJECT_47041,1257.0306,14.4958,0.0014501,0.0015447,0.0002
81102,OBJECT_81102,31619,OBJECT_31619,1976.6178,6.2488,0.0014501,0.0048325,0.0002
81102,OBJECT_81102,30744,OBJECT_30744,2414.1133,8.4991,0.0014501,0.0053588,0.0002
28932,OBJECT_28932,81102,OBJECT_81102,711.8973,9.9941,0.00026737,0.0014501,0.0002
